ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0046640,regulation of alpha-beta T cell proliferation,31/15173,33/18866,0.030330147,0.100513847,0.069336736,ARG2/CCR2/CD274/CD28/CD3E/CD55/CD81/EBI3/HLA-A/HLA-E/IL18/IL23A/IRF1/LGALS9/LGALS9B/LGALS9C/MAPK8IP1/PTPN22/PTPRC/RASAL3/RIPK2/SH3RF1/SYK/TGFBR2/TNFRSF14/TNFSF4/TWSG1/VSIR/XCL1/ZAP70/ZBTB7B,31
GO:0072678,T cell migration,60/15173,67/18866,0.03484487,0.113115291,0.078029498,ADAM10/ADAM17/ADAM8/AIF1/AIRE/APOD/APP/CCL2/CCL20/CCL26/CCL3/CCL5/CCR2/CCR6/CD200/CD200R1/CD99/CD99L2/CRK/CRKL/CXCL10/CXCL11/CXCL13/CXCL16/CXCR3/DOCK8/ECM1/F11R/FADD/GPR15/GPR183/ICAM1/IL27RA/ITGA4/ITGAL/ITGB7/LRCH1/MSN/MYO1G/OXSR1/PIK3CD/PIK3CG/PYCARD/RHOA/RIPK3/RIPOR2/S1PR1/SELENOK/SLC12A2/SPN/STK39/TMEM102/TNFRSF14/TNFSF14/WNK1/WNT5A/XCL1/XCL2/XG/ZAP70,60
GO:0045589,regulation of regulatory T cell differentiation,30/15173,32/18866,0.035721262,0.115155,0.079436536,BCL6/BTN2A2/CBFB/CD28/CD46/CR1/CTLA4/DROSHA/DUSP10/FANCA/FANCD2/FOXP3/HLA-G/IFNG/IL2/IL2RA/IRF1/KAT2A/LAG3/LGALS9/LILRB2/LILRB4/MDK/NFATC2/RUNX1/SOCS1/SOX12/TNFRSF18/TNFSF4/VSIR,30
GO:0050862,positive regulation of T cell receptor signaling pathway,15/15173,15/18866,0.038043965,0.118584043,0.081801967,ADA/CARD11/CCR7/CD226/CD81/CYLD/KCNN4/LCK/NECTIN2/PRKD2/RAB29/RELA/RPS3/TESPA1/TRAT1,15
GO:0050860,negative regulation of T cell receptor signaling pathway,22/15173,23/18866,0.043907431,0.133079355,0.091801163,BTN2A2/CD160/CEACAM1/DGKZ/DUSP22/DUSP3/ELF1/EZR/GBP1/LGALS3/LILRB4/PAWR/PHPT1/PRNP/PTPN2/PTPN22/PTPN6/PTPRJ/PVRIG/SH2D1A/SLA2/UBASH3A,22
GO:0002286,T cell activation involved in immune response,95/15173,109/18866,0.043918845,0.133079355,0.091801163,ANXA1/APBB1IP/ATP7A/BATF/BCL3/BCL6/CD1C/CD46/CD74/CD80/CD81/CD86/CEACAM1/CLEC4D/CLEC4E/EIF2AK4/EOMES/F2RL1/FCER1G/FCGR2B/FGL2/FOXP1/FOXP3/GATA3/GPR183/HAVCR2/HLA-DMB/HLX/HMGB1/ICAM1/IFNA21/IFNA5/IFNB1/IFNE/IFNG/IFNK/IFNL1/IFNW1/IL12RB1/IL18/IL18R1/IL2/IL21/IL23A/IL23R/IL27/IL4/IL4R/IL6/IRF4/ITGAL/JAK3/LCP1/LEF1/LGALS3/LGALS9/LILRB1/LOXL3/LY9/MALT1/MDK/MTOR/MYB/NFKBID/NFKBIZ/NLRP3/PCK1/PRKCZ/PSEN1/PTGER4/RAB27A/RARA/RC3H1/RC3H2/RELB/RIPK2/RORA/RORC/SEMA4A/SLAMF6/SLC11A1/SMAD7/SOCS5/SPN/STAT3/STAT6/TBX21/TMEM98/TNFSF18/TNFSF4/TP53/TSC1/ZBTB7B/ZC3H12A/ZFPM1,95
GO:0045591,positive regulation of regulatory T cell differentiation,14/15173,14/18866,0.047312146,0.138442882,0.095501046,BCL6/BTN2A2/CD46/DUSP10/FOXP3/HLA-G/IFNG/IL2/LGALS9/LILRB2/LILRB4/SOCS1/SOX12/VSIR,14
GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",21/15173,22/18866,0.052591856,0.150437708,0.10377535,BATF/BCL2/CTSL/CYLD/FOXP3/IL12RB1/IL23A/IL23R/IL6/IRF4/LOXL3/LY9/MTOR/SHH/SLAMF6/SPN/STAT3/STAT6/TBX21/TOX/ZFPM1,21
GO:0045061,thymic T cell selection,21/15173,22/18866,0.052591856,0.150437708,0.10377535,AIRE/ATG5/CARD11/CCR7/CD28/CD3D/CD3E/CD3G/CD74/DOCK2/GATA3/GLI3/ITPKB/JAG2/PTPN2/PTPRC/SHH/SRF/STK11/TOX/ZAP70,21
GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",33/15173,36/18866,0.058753461,0.160800948,0.110924148,ANXA1/CD160/CD55/CD80/CD81/CD83/CD86/FOXP3/HLX/IFNG/IL12RB1/IL18/IL23A/IL23R/IL4R/LGALS9/MALT1/MYB/NCKAP1L/NFKBID/NFKBIZ/NLRP3/PRKCQ/PRKCZ/RARA/RIPK2/SASH3/SOCS1/SOCS5/TGFBR2/TNFSF4/XCL1/ZBTB7B,33
