"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"ENSG00000273149",0,0,0,0,0,0,0,0.35842,0,0,0,0,0
"ENSG00000273151",0.671065,1.03681,0.644069,0.768015,0.55056,0.356489,1.04388,0.724122,0.241024,0.819747,0.713265,1.32911,0.628331
"ENSG00000273153",1.26676,2.44119,5.97664,2.42908,13.5154,2.09454,0,9.98555,6.56291,0,1.57339,0,5.03501
"ENSG00000273154",5.50291,2.25435,3.74155,6.31956,3.86893,2.13529,5.24947,5.34368,5.76933,2.64751,3.85465,5.2717,2.79412
"ENSG00000273155",2.20656,0.490592,0,0.914587,0.634861,0,0,0,1.31338,0,1.00014,0,1.02688
"ENSG00000273156",16.9246,8.54724,18.9413,20.4526,14.7047,8.77449,2.92887,15.1856,6.49998,6.4838,8.88637,5.8747,20.4942
"ENSG00000273160",15.2618,7.72963,6.79265,5.93738,1.7347,6.64069,1.54775,7.97571,6.99416,3.18653,2.22479,10.5967,3.5509
"ENSG00000273162",0,0,0,0,0.463613,0,0,0.479559,0,0.216738,0.147609,0,0
"ENSG00000273165",5.25904,0,4.20288,0,1.56089,0,0,7.22936,1.05788,3.61479,0.501174,1.11096,1.59715
"ENSG00000273167",0,0,0,0,0,0,0,0,0,0.0563802,0,0,0
"ENSG00000273174",0.534432,1.28502,5.05177,0.513872,0.51479,2.22173,0.471988,1.8585,1.86787,1.19762,0.659278,1.71615,3.84789
"ENSG00000273175",1.75798,0,1.10738,2.53523,1.9762,0,0.516746,0,1.27975,0,0,1.88102,0.767848
"ENSG00000273176",10.4156,8.92396,2.07036,0,1.058,0.904502,6.21048,3.80443,1.42798,3.90562,0.679883,1.99881,2.89016
"ENSG00000273179",9.77849,15.7737,21.8667,23.243,10.929,15.2978,33.2348,30.1164,14.7682,27.9822,14.0363,6.57294,17.6275
"ENSG00000273181",0,0,0,0,0,0,0,0,0,1.03149,0.283263,0,0.90219
"ENSG00000273183",0.200015,0,1.89251,0,1.92542,1.0007,0.532404,2.5852,1.74984,2.87281,0,1.10196,0
"ENSG00000273184",0,0.308728,0.922107,0,0,4.71872,0,0,0,0,2.34398,0.342854,0
"ENSG00000273186",0,0,0,0,0,0,0,0,0,0,0.600312,0,0
"ENSG00000273188",2.20734,4.612,2.24383,6.45143,3.57634,5.14162,3.21524,2.95522,4.02433,3.02302,1.0178,2.84123,8.49897
"ENSG00000273189",1.03064,0,1.43046,0.611407,0.370694,0,1.41231,1.29254,0.697836,0,0.241264,0,0.152667
"ENSG00000273192",2.15314,3.64596,6.57592,4.15906,2.75781,4.12404,4.18238,2.70124,3.53238,3.6496,3.65965,2.99244,3.20418
"ENSG00000273196",0,14.8988,9.72489,0,20.2199,6.69769,4.54092,51.0645,0,0,0,4.84351,13.4505
"ENSG00000273198",0,0,0,0,0,0,2.34742,0,0,0,0,0,0
"ENSG00000273199",0,0,0,0.4018,0,0,0.248811,0.13842,0,0.125613,0,0,0.180604
"ENSG00000273203",0.373701,0.179713,0.254677,0.588363,0.178638,0.293414,0.124495,0.37747,0.298897,0.22978,0.210894,0.0445507,0.361274
"ENSG00000273204",0,0,0.324934,0,0,0,0,0,0,0,0,0,0.21061
"ENSG00000273210",2.73734,0.37543,1.47757,0.375913,0,0,0,1.94185,0.341001,0,0,0.358112,0
"ENSG00000273212",0,1.486,0,0,0,0,0,1.15415,0,0.692967,0,0,1.03946
"ENSG00000273216",0,1.38082,0.339566,1.03682,1.73238,0,0,0,0,0,0.444687,0,0.472264
"ENSG00000273217",5.44113,6.19983,0.0013123,8.85382,9.37383,4.87316,3.4776,5.84594,4.52748,5.01148,4.54993,4.4403,11.0904
"ENSG00000273218",2.7374,1.71531,2.19087,2.11553,2.30473,2.60712,2.46601,1.6225,1.24101,1.41475,1.49804,2.48014,2.31693
"ENSG00000273219",0,0,0.365473,0,0,0,0,0,0,0,0,0,0
"ENSG00000273221",0,1.13448,6.69591,0.855481,7.19684,3.94e-09,2.74085,0,0,0.00610286,6.3e-05,0.701615,0
"ENSG00000273226",5.68859,8.54244,7.77122,8.89875,4.96093,5.67522,6.55215,1.98109,2.4751,4.34181,7.68561,10.7133,5.95622
"ENSG00000273230",0.283072,0.364219,0.429827,0.450228,0.472954,0.223894,0.355696,0.365581,0.44171,0.122388,0.0818003,0.495384,0.623175
"ENSG00000273232",0,0,0,0,0,0,0,0.585858,0,1.32048,0,0,0
"ENSG00000273233",0,0,0,0,0,0,0,0,0.388855,0,0,0,0
"ENSG00000273240",0,2.57845,1.38184,1.40557,3.04925,0,1.93932,6.77786,0.851734,1.96576,1.80098,0.670605,4.77979
"ENSG00000273243",11.6768,2.10354,0,3.861,7.03962,3.02509,6.731,3.62554,10.5112,3.26514,7.22679,4.68315,1.43941
"ENSG00000273245",1.48394,0,0,0,0.571971,1.23252,0,0.294828,0.259279,0,1.09961,0,0
"ENSG00000273253",0.123793,0,0.232846,0.474364,0.117473,0.718288,0.439253,0.722457,0.423823,0.107839,0.299017,0.44501,0
"ENSG00000273254",0,0.214278,0.210197,0.215348,0.439412,0,0.199136,0,0.589796,0,0.278194,1.07528,0.297272
"ENSG00000273257",0,0,0,0,3.81546,1.29779,0,0.780261,0,0,1.95651,1.43414,0
"ENSG00000273258",0,0,0,0,0,0,2.2135,0,0,0,1.58375,0,0
"ENSG00000273261",6.42291,4.87938,9.15295,5.45274,8.01368,1.74028,0.994374,3.3514,2.30724,8.46669,2.87205,2.06258,9.93351
"ENSG00000273267",0,0,0,0,0,0,0,0,0,0,0,1.74738,0
"ENSG00000273269",0,0,0,0,0,0,0,0,0,0.122392,0.686886,0.498997,0.354638
"ENSG00000273270",1.93868,1.79066,1.36662,1.78818,2.40077,1.3515,1.2427,1.69847,1.25273,1.36335,0.756263,1.41649,1.25773
"ENSG00000273271",10.4642,21.2984,19.7747,27.8198,15.4257,19.6753,10.0324,8.55879,15.325,11.5747,13.3078,8.18554,30.6709
"ENSG00000273272",2.62834,15.0908,3.75675,0,0,4.18231,7.97062,4.24973,1.59742,4.58328,2.24986,2.98327,5.6353
"ENSG00000273275",6.91514,3.85132,7.27285,4.7526,1.97103,6.14052,5.01807,7.35055,6.47603,4.71979,5.04838,0.962877,3.60239
"ENSG00000273284",3.37654,0,1.43521,0,1.90411,5.45905,2.28702,1.04281,1.7341,2.93277,0.713102,2.46147,4.3949
